744,shogun-toolbox/shogun,210,C++
745,ZerBea/hcxtools,209,C
746,facebook/mcrouter,209,C++
747,mtheall/ftpd,209,C
748,tum-vision/lsd_slam,209,C++
749,hurley25/hurlex-doc,209,C
750,Icinga/icinga2,208,C++
751,google/zopfli,208,C++
752,google/mozc,208,C++
753,jkuhlmann/cgltf,207,C
754,uzh-rpg/rpg_svo,207,C++
755,sahib/rmlint,207,C
756,Tom94/tev,206,C++
757,ppwwyyxx/OpenPano,206,C++
758,rwengine/openrw,205,C++
759,YannickJadoul/Parselmouth,205,C++
760,bjornbytes/lovr,204,C
